SpeakerID,Filename,SNR_dB
5,5d9c_EN-OL-RC-538_1.wav,72.39
5,5a21g_EN-OL-RC-538_1.wav,36.24
5,5c3c_EN-OL-RC-538_1.wav,99.08
5,5b4b_EN-OL-RC-538_2.wav,92.9
5,5b43c_EN-OL-RC-538_2.wav,34.12
5,5b36g_EN-OL-RC-538_1.wav,88.55
5,5d29g_EN-OL-RC-538_1.wav,60.54
5,5b10g_EN-OL-RC-538_1.wav,58.12
5,5b24g_EN-OL-RC-538_2.wav,96.0
5,5b42g_EN-OL-RC-538_2.wav,96.62
5,5b10g_EN-OL-RC-538_2.wav,81.32
5,5a38c_EN-OL-RC-538_2.wav,83.83
5,5b7a_EN-OL-RC-538_2.wav,77.62
5,5a20k_EN-OL-RC-538_2.wav,48.49
5,5c30a_EN-OL-RC-538_1.wav,37.93
5,5a7a_EN-OL-RC-538_2.wav,65.06
5,5a30k_EN-OL-RC-538_2.wav,35.3
5,5a21d_EN-OL-RC-538_2.wav,100.0
5,5b51f_EN-OL-RC-538_2.wav,83.97
5,5a23c_EN-OL-RC-538_1.wav,90.39
5,5a44k_EN-OL-RC-538_2.wav,82.55
5,5d20c_EN-OL-RC-538_1.wav,93.45
5,5b41c_EN-OL-RC-538_2.wav,94.53
5,5a5k_EN-OL-RC-538_2.wav,45.29
5,5b27a_EN-OL-RC-538_2.wav,63.9
5,5a36c_EN-OL-RC-538_2.wav,97.89
5,5b18c_EN-OL-RC-538_1.wav,75.61
5,5a40k_EN-OL-RC-538_1.wav,44.48
5,5b47f_EN-OL-RC-538_1.wav,39.72
5,5b51c_EN-OL-RC-538_2.wav,44.62
5,5a5c_EN-OL-RC-538_2.wav,60.37
5,5a14a_EN-OL-RC-538_2.wav,68.55
5,5a3k_EN-OL-RC-538_2.wav,54.52
5,5d31g_EN-OL-RC-538_1.wav,88.29
5,5c21c_EN-OL-RC-538_1.wav,91.28
5,5b9f_EN-OL-RC-538_1.wav,66.78
5,5b27k_EN-OL-RC-538_2.wav,54.09
5,5b34f_EN-OL-RC-538_2.wav,69.97
5,5a42j_EN-OL-RC-538_2.wav,64.86
5,5a20a_EN-OL-RC-538_1.wav,87.7
5,5c22b_EN-OL-RC-538_1.wav,64.88
5,5a31c_EN-OL-RC-538_2.wav,99.79
5,5c5c_EN-OL-RC-538_1.wav,89.58
5,5a36a_EN-OL-RC-538_2.wav,63.82
5,5b27f_EN-OL-RC-538_2.wav,96.76
5,5a18j_EN-OL-RC-538_1.wav,63.27
5,5a36k_EN-OL-RC-538_1.wav,61.93
